RouteName;Direction;TFLSequence;BusStopCode;FirstLast
357;2;27;58820;
227;2;20;47775;
196;2;37;52744;
R6;1;11;54718;
N28;2;27;51239;
82;1;41;47771;
390;1;40;57927;
617;1;13;71236;
N551;2;62;71636;
N15;1;78;77565;
139;2;21;74679;
220;1;20;47898;
N68;2;63;58680;
632;1;27;48841;
N28;1;30;73601;
H91;1;2;47484;
174;2;7;57171;
191;1;2;50524;
674;1;26;77236;
654;1;17;74355;
491;1;2;49735;
7;2;34;74785;
663;1;2;56293;
170;1;21;91208;
N343;2;35;76588;
47;1;40;58728;
98;1;29;51889;
337;2;17;75922;
N13;2;32;54310;
157;1;29;76446;
273;1;28;51216;
N47;2;67;72033;
61;2;35;49874;
N253;2;2;71293;
64;2;31;48143;
650;2;1;73127;FIRST
75;2;27;54463;
N9;2;16;47297;
410;1;34;47695;
59;2;36;71495;
C2;2;15;73874;
W13;1;10;73354;
N16;2;40;58268;
491;2;20;51150;
487;1;6;48048;
C2;2;12;77956;
31;1;26;57081;
N133;2;42;75720;
244;1;1;75564;FIRST
224;2;19;59356;
269;1;29;59303;
261;1;36;76434;
141;2;24;77749;
627;1;12;72546;
214;1;20;52722;
U10;1;13;77798;
N55;2;64;49407;
302;1;10;59294;
432;2;11;75610;
632;2;11;56416;
83;2;19;75716;
N68;2;54;75253;
144;1;6;48485;
428;1;6;47400;
75;1;15;73969;
W5;1;10;52931;LAST
329;1;9;50406;
406;1;30;58881;
234;1;18;74216;
358;1;6;55270;
C1;1;20;74991;
624;2;10;52038;
W7;2;2;49004;
104;1;30;59001;
134;1;21;54348;
170;2;12;48539;
287;1;26;77198;
123;1;56;54398;
665;1;13;74842;
293;1;8;71201;
N19;2;30;57455;
521;1;10;50503;
425;2;2;58729;
464;2;7;56816;
646;1;23;58586;
C10;1;38;77622;
307;1;18;75234;
295;2;21;50843;
C1;2;19;75622;
18;2;11;77307;
603;1;9;76710;
166;1;2;51759;
17;1;23;55860;
167;2;28;75321;
W6;2;6;54829;
3;2;16;77185;
168;1;29;51551;
253;1;20;91206;
428;1;20;72830;
H14;2;6;57382;
181;2;34;56015;
36;1;43;58724;
210;1;28;74446;
37;1;35;71632;
48;1;40;49190;
329;1;20;51853;
487;1;26;49849;
316;2;4;59236;
148;2;17;47615;
N91;1;54;52037;
N86;2;30;49544;
159;2;33;71495;
R3;2;5;52109;
398;2;8;56394;
W11;1;3;58699;
107;1;38;77850;
N18;1;30;50929;
643;2;6;75356;
N47;2;88;72966;
37;2;1;57108;FIRST
113;1;15;72737;
326;1;15;54456;
295;2;17;74661;
658;2;4;56960;
333;1;32;57138;
37;2;51;73076;LAST
247;2;14;55713;
226;1;7;54615;
455;2;3;58698;
210;2;11;57794;
343;2;42;72106;
N41;1;44;72653;
398;1;4;58687;
1;1;3;54321;
41;2;19;51174;
N21;1;15;58738;
N109;1;59;72245;LAST
372;1;27;74550;
N109;1;32;75381;
341;1;45;71725;
68;2;26;58116;
13;1;33;76936;
326;1;13;76941;
E6;2;17;72991;
663;2;12;51559;
403;1;7;75762;
N136;2;27;51922;
414;2;24;75118;
N41;2;48;56116;
N5;2;28;75820;
2;1;29;48978;
490;2;26;76730;
474;1;23;52447;
48;1;5;71336;
W8;1;2;53413;
406;1;10;50123;
653;2;4;77966;
405;2;28;59208;
K3;1;12;75302;
N31;2;55;52051;
66;2;24;75941;
148;2;38;53710;
223;2;23;74477;
257;2;21;73642;
N15;2;76;73972;
71;1;9;73151;
655;1;6;77494;
476;2;31;57324;
